record_id,source_id,weak_label,headline_hash,model_timestamp,split,split_reason
006c781fbb88dbc6fa7ed5496b3b20aea788c6735209234f534e71884c7638a8,the_hill,Center,a37fd4f3c9f72a48be6598e65c1f4a17374a2d507f307469cdcfcae85aad969a,2026-08-26 23:55:33+00:00,validation,newest_within_outlet
00a12f7b1f87d25fd4c053a077003edde839b1e278408312682e52b6f0cb8c4a,vox,Left,3c54794c14922a3ca5b49b8c44c1b5fde98aea8e559a3410e62016ddbc858683,2026-08-21 20:15:18+00:00,train,older_non_holdout_record
00aa44240af86fd7819737d37e982b1be793a5920c6321dde2bba3b086e2c61b,fox_news,Right,f2ad76eb6ece0d7944e0d681b2f5c951430b6b108421f29a79c68991d623d88b,2026-08-21 18:13:45+00:00,train,older_non_holdout_record
00c3c0ce76a022ef572968027a27cd7f24afb53ff8664a3b58853e82e5d0cb1e,cnn,Lean Left,fb7546a5dd4d2993d233c020616cbdaacc026b6bc0002e25c68cb86c6a7aaff6,2023-04-18 22:03:13+00:00,test_ood,frozen_holdout_outlet
00c681a1ee3f6af841285dc8af13d8bbc73c53000ba0eb12aaaeeb36fbeb3b0d,washington_examiner,Lean Right,d8eb32707fe128679261463580c186a8a9b4fdb1bad86e5ecc8acd64e8e3e8b0,2026-08-24 21:52:31+00:00,test_ood,frozen_holdout_outlet
019aeb7c6e9d85d7c4f7508edea17ebf99ea51a22c37f17717c51f25bd642d03,reason,Lean Right,c55a7e000c735d7f118d114c74d58fab3ccf50f5962a1e9a936f8e77a977e60c,2026-08-14 11:00:41+00:00,train,older_non_holdout_record
01d0cca6783a1fb9620364276ea1eed80fed0b583e04daae8c86a89ac2308f6e,vox,Left,93f21a929beb0e9275d39e2ecf062b8ea663af40b092eb9b1b0cea50a100e14f,2026-08-25 22:55:09+00:00,validation,newest_within_outlet
023c36b885346c2b6d0eb2a98ad6cd7a3cfa3393d6e428c621a45d5425a4f5c3,nbc_news,Lean Left,d99e8dd22b4043df5e00f91866cb4514c735a4a73e7c9d4513feb8f831e3d214,2026-08-26 20:53:17+00:00,validation,newest_within_outlet
0262ba9f47e41b5998b5167a460022795eafcfccc87a1950935b81f82c246642,newsmax,Right,7329cffb1a90277ec3a1d6b1456c17449702f35067a54f9f638212e716283376,2026-08-27 02:17:18+00:00,test_ood,frozen_holdout_outlet
029c082205708518a6552b9dad7f31a9937d73ece2546b4d11491a98d22cbf1c,washington_examiner,Lean Right,8507c533324b153e90d031cba4e6f505e6d6a789acb5bc5af1011e7632945d2c,2026-08-25 19:27:32+00:00,test_ood,frozen_holdout_outlet
02df52c3ce68f9cfec6c73306dcf0d7e4393038b5e64fbe378602b2f86e3f60e,mother_jones,Left,06eecb7f8858e1a1c4a80948df967617e5b3200dd499a1403451bdbbb5433b35,2026-07-27 18:25:37+00:00,test_ood,frozen_holdout_outlet
02eca4376bc41614f21be229177122352a00d1823b546cc1c8a6140fd58c5705,washington_examiner,Lean Right,b26bf6f2c815822e12055996bd098702571f7e9969f80a330d5650cc8359f24f,2026-08-22 10:00:00+00:00,test_ood,frozen_holdout_outlet
03072472986e9a22344880c16088e438aec07992419f3330671da9b9f2dd9f8a,washington_examiner,Lean Right,d3e712efba3b01bfb32e255ac88b90089a20d35e037ef824fa9f610102c2b842,2026-08-25 20:38:18+00:00,test_ood,frozen_holdout_outlet
038b4f39e628bb6f47d0aa3b884f994d61ebe06ef40fbb1735e1efb030eb824b,the_atlantic,Left,0c9d068298c90ab366f9ce9bd6f7028fc1b0cae42195ee334277d99ff8556505,2026-08-18 12:00:00+00:00,train,older_non_holdout_record
03f8e17ee2529d0e9dc9fc019ccd811c0eed28047f0f5d18bda840e88cded7ed,mediaite,Lean Left,b2da26ddbbd01fa532347716bfde0d225cc933b36adb5104e06adf8906cf9894,2026-08-27 00:32:01+00:00,validation,newest_within_outlet
048be95c8ffd015b830fada38e2c2729b15b6c31910dc39a0fdb78f4c2d174b4,mother_jones,Left,9f459681d05825ccc37423ce3129bbf4ae56766a92331a1e5ddd1b6d6b76275e,2026-08-05 20:44:34+00:00,test_ood,frozen_holdout_outlet
04d9197ec109a3aac2a3b637937b8ebed3efc87cf51973528e097df561d5abdf,nbc_news,Lean Left,fb04ab7f5b5c6709fe8f30e00e86199d1d54a397ee63f99ec661a86f0e989491,2026-08-17 20:48:54+00:00,train,older_non_holdout_record
04ecf6b56afc2d198646c689eba22860325dec42091d8222b57c4fbe5c8fcc6e,nbc_news,Lean Left,c3678c4abb8e8917e8895b1c7cfa3dbb91f5d29807603c86fde6861fda82d68d,2026-08-20 20:36:44+00:00,train,older_non_holdout_record
053fc9c3c30852b37fe36eb07c6b8a9792bbd13baf3505dfc64488921876cca5,mother_jones,Left,4e14ddf388bb85a5fd3a13b9fa6b828551586c8a2867067c6190d74832352095,2026-08-21 22:08:14+00:00,test_ood,frozen_holdout_outlet
055bcf165684a3ef73b910fccd244b262616927707d4ea6c8989b21b23241a1b,mother_jones,Left,c7d72e8fe0133f3320c43cb119f6e1a760b7d07f847f57b5ed305694f0e32660,2026-08-14 19:46:00+00:00,test_ood,frozen_holdout_outlet
056c82ab2c4a01989c6f9184b2f54c349b8887ec62e64ddc0812fe5bf8ad491a,washington_examiner,Lean Right,e0f4e3a35cfe546bc0fe4c357d3e970e954f190ed6981535d56ae2aa0648af17,2026-08-26 22:25:02+00:00,test_ood,frozen_holdout_outlet
05737fc737f013af00b30c2d3e1a0b5761cef8a51daaed5f53909d8f18c91fb8,mediaite,Lean Left,095e5e9bbe8c7ae5ed8c6226b811816d8192c7a804c992b3503a2c348eebbe32,2026-08-26 17:59:17+00:00,train,older_non_holdout_record
05d29148004f10a0b2b8bce084d3a4855091d9a8e4e5c8c08d2bbabd08ac7787,daily_wire,Right,12c62742294138b5de0818bf2ffb44f3c50a9f2f269cc3a2846b60177095a5a6,2026-08-26 07:16:36+00:00,train,older_non_holdout_record
067bd9e2c214a8fa3ccb33ce8d2fdb936649ed3b8040771e8ac3bb2021ff9dd9,mother_jones,Left,92f537729533eea77b2242e3495054f75129ab004d69cc3ea0e91e833a5538ff,2026-08-04 18:40:24+00:00,test_ood,frozen_holdout_outlet
068d5f3e63b0c187ecf9a618ddd51da32ded3f46b6b3c0c317fac191ec7749ab,newsmax,Right,5b77e16a7e5810d5f4c5087342ba32869876c9145565bcaf01cc826250ce5d42,2026-08-26 21:27:16+00:00,test_ood,frozen_holdout_outlet
069b1bb40fc1affa380db37a1f227cafb8d8d8409cdba14d08ddf7d835093003,the_hill,Center,3658f761c60ead77bf5390b3261a51f736a18847a50a9d36ffa3b106327b8aea,2026-08-26 21:53:52+00:00,validation,newest_within_outlet
0724cdf10511bd49b6fdba3e637a29a1c0f5cb94265cbc2a820adfe7465f74b4,washington_examiner,Lean Right,8b933da9534af39fdef958e2c18c6b082ed66aae3073929c75bc795022f9348b,2026-08-25 14:00:00+00:00,test_ood,frozen_holdout_outlet
07882f7d6f29456695a14456eb88ec103b7277098d145fcca66b1982b95722be,mother_jones,Left,5a387279ed7214dca0c3ddf65c3186adacbd41eaa08ab7d59c63beeff62e4e4a,2026-08-14 11:30:00+00:00,test_ood,frozen_holdout_outlet
07c0f07d76eed623deb7207dde9306e85c83d7ddee7b0f1a29481919c05637e7,mother_jones,Left,e4f28d1853dd31dc79d9cd9983799c0af249119f6c1879306de1eb1dcef7072a,2026-08-03 16:00:00+00:00,test_ood,frozen_holdout_outlet
07e141bb3c123b692f3509b7aa8b20c306e6373b513572592b4e6bafd652abd8,nbc_news,Lean Left,284c201d8bf652fd0fa14e61307498401a73470d7eb237da0fbdc9521436840f,2026-08-25 17:53:41+00:00,train,older_non_holdout_record
08284544c5ad1039ac893f78ff869546a78c8350a95f3a4528f6b2c7ac210a63,reason,Lean Right,6bcf9b298c36d27e28c0ffdafc70c401b3137ee3e6605d25a13f307bb453dbcd,2026-08-12 11:00:38+00:00,train,older_non_holdout_record
0867fff913039850e5e272d7c7abfd0cae3df9337aad410043683ebee265ea0a,washington_examiner,Lean Right,04381b5c5b6d6baab626bab7db44918d4952ca04bedda6bef1204484b1534660,2026-08-26 10:00:00+00:00,test_ood,frozen_holdout_outlet
089fb50e8b4508ad9814b2e57f369f5a527116f098aa50c5bb330f9c163d37aa,washington_examiner,Lean Right,2e678b0253c205c99617448d886f97dcaf65c0666e1a203f1b6429153a65c48c,2026-08-24 20:58:36+00:00,test_ood,frozen_holdout_outlet
08e42541a4b2484cf63840c15217910ee722a2e48eae52d45baf6118342dc86e,the_hill,Center,9e7b6d108a1a9335d5048d3857dd42ab559c81c0782c96ecc0899dd6a8d53c6f,2026-08-26 18:56:05+00:00,validation,exact_hash_grouped_with_validation
09ae3f10a0e382d4ae91bcce446faafed67c202f6913479b3301efcbbbef6ad1,newsnation,Center,7be442b0a9742f9d2f578193c979b9a4f3778a83276b9d6300feabf9b9f50396,2026-08-23 21:29:05+00:00,train,older_non_holdout_record
09d079c76757c5881fe2b059756643c27d44f16d417b9bd2d136905b188bad17,washington_examiner,Lean Right,c6a89bb9f29ff055c0d1556aa6b1b279c0552931ee6f8513727b894415c38dd1,2026-08-26 19:20:45+00:00,test_ood,frozen_holdout_outlet
0a26d02779b4621ac2a6b0f63646ca07fed9e2734af7e58030c290f38e2c6bad,reason,Lean Right,c174294fbe295eca37b6b406fcefa16c4485812a2b82d45383e1bff6d85b57b7,2026-08-12 20:40:25+00:00,train,older_non_holdout_record
0a5927b44e2e1c9a63f15c74766770b6f40b2c7c3194ace7cc027519566b4ff4,the_hill,Center,197db8be61e16907c353a3e707c08ce9e8558a4067b46f08b42b071708ad58e3,2026-08-26 14:33:04+00:00,validation,exact_hash_grouped_with_validation
0a8c7ce99e1f4a8336ead4afe3b9811b0cffcdfb428e8b64c68b9757a9e69608,mother_jones,Left,f6643ae530f2056599ff338f70e9d0d01dab08095b04ac4925fb2f0f9d5c9ce2,2026-08-19 16:57:18+00:00,test_ood,frozen_holdout_outlet
0a9956612722909f29ab0972e59dd0f0c36ca4ea5f7161a0508403b433dd8a47,the_hill,Center,5ab80cf405799a72bbed5f37e2d33d06715e538c6ec305cd177484cf2b3ee543,2026-08-26 20:10:37+00:00,train,older_non_holdout_record
0aba34f3b8b416b3b7b2a978ab44cbb1c2ab62dbbc6e1dbf57f0376e6efe7e64,reason,Lean Right,2e8078a6bc47d8188320f1bcf65fdd0a4887673e951ee2180df59a276ba4106c,2026-08-11 16:17:51+00:00,train,older_non_holdout_record
0affc87004e07245cb795e782ca51e220b1fd34ff4fb479d215ab200385df53c,reason,Lean Right,9a4f2c4f756c0a701ed4d7b013ea08d364ab4883d792444cd01dd945c2af52d2,2026-08-22 11:00:28+00:00,train,older_non_holdout_record
0b08271c58bce56c27bb47bf26c581f847e4b42cb888082a05efe0293598cc72,mother_jones,Left,eec492aa45caab1dbb1e8546ee85f7794e9215e695c17c357c0897e1a137e6dd,2026-08-26 14:02:30+00:00,test_ood,frozen_holdout_outlet
0b3e33bfd15b461e119254ac3c5bbf257116200200660b49ab81f4e8e927f55c,mother_jones,Left,db68e9224b2c026cf7562088bca1f9b7cf9bbab024f9f6281229c9ae04256ad4,2026-08-21 21:33:27+00:00,test_ood,frozen_holdout_outlet
0b630c292686330795e55df61a1bee26db839c60c68fea6908a642eae81e5cae,newsmax,Right,1e7c0a000fc1a6f1a6d6576c76484c9d66ad6508f6e62346861aa60ce9f5b2ea,2026-08-26 23:05:26+00:00,test_ood,frozen_holdout_outlet
0b9d4f2876eddfac1fe0ec9c32ba8c1b106a1b0be4d8e8d6ff1010a656580ee2,mother_jones,Left,8efa5f2ef5b27b3358405fcd21cfb0d30ec6cfb7aa3fb20f6db6d57e308e7707,2026-08-23 16:42:45+00:00,test_ood,frozen_holdout_outlet
0bd93f96926d563bf329fad1281510d43f8362e1e13ac13af1a621b9e4fa4ceb,washington_examiner,Lean Right,ed9d8f6f86a12fe218b4034fc0bb24a78823ed8f2027e76ae15d5ddf4d9b1613,2026-08-26 14:37:26+00:00,test_ood,frozen_holdout_outlet
